_id,title,description,price,author,publisher,copies[0],copies[1],copies[2],copies[3],copies[4],copies[5],__v
18,Seamless demand-driven strategy,Trial safe pull act. Blood deal loss after have natural.\nGuy before rule war. Glass while TV attorney prove building situation year.,48,Steven Shelton,Drake-Howard,18_0,18_1,NaN_2,,,,1
5,Monitored exuding superstructure,Politics sort meeting nor. Wife police animal throw respond.\nYou official trade. Next type simple action his any.\nReach indicate power through. His wife including. Hit offer may human we.,75,Jeffrey Harrison,Kelly-Donaldson,5_0,5_1,5_2,5_3,NaN_4,NaN_5,2
19,Triple-buffered zero tolerance hub,Or PM talk material keep.\nHusband by structure stock world both. Still modern prove company officer level.,23,Alexis Ross,Sanders and Sons,19_0,19_1,19_2,19_3,19_4,,
24,Inverse transitional contingency,Power more red ever when. Shoulder knowledge end drug any policy inside.\nPainting live hand apply. Because garden story bit individual.,15,Eric Price,Morrison and Sons,24_0,24_1,24_2,,,,
26,Ameliorated eco-centric open system,Woman require ever lay right. Live there artist wife sea green. System few dream late interview old pass.\nPart right maybe four. When door must central knowledge start television.,37,Steven Allison,Wilson-Patterson,26_0,26_1,,,,,
6,Multi-lateral neutral matrix,Show help hope service. Yard tree majority especially either you baby.\nTv during door president wind difficult. Whom television officer two movie section.,54,Laura Washington,"Ramirez, Lopez and Zavala",6_0,6_1,6_2,6_3,,,
8,Implemented bi-directional data-warehouse,Adult staff from daughter above. I black practice next me bit stage. Own individual account state paper check.\nCause threat above stock bring. Unit cultural bank agency cover authority concern.,61,Jonathan Cox,Mathis LLC,8_0,8_1,8_2,8_3,8_4,,
9,Innovative next generation strategy,Option beyond page upon lawyer matter. Medical herself per manage hard thousand herself. Player enter employee expert plant.,31,Stacey Clark,"Nelson, Taylor and Baird",9_0,9_1,9_2,9_3,,,
15,Visionary content-based productivity,Themselves college range friend. Garden service time parent quickly billion civil bad.,54,Eric Evans,Bowers-White,15_0,15_1,,,,,
20,Face-to-face zero-defect knowledgebase,Himself dream floor time carry. Quite loss remember two treatment oil. Pattern father away.\nRecord project north successful both. Go hold skin pressure.,57,Ashlee Jones,"Myers, Gould and Bowman",20_0,20_1,20_2,20_3,20_4,,
21,Self-enabling solution-oriented service-desk,No race sense population. Him budget know.\nSuccessful care conference knowledge find.\nArrive generation enjoy. Tell look tree face term. Case dream happy lay and above.,70,Sarah Townsend,Campbell LLC,21_0,21_1,21_2,21_3,,,
22,Diverse incremental open system,Them service put population those. Adult effect third.\nMonth figure choice against. Western name industry focus past environmental. West hold political population large.,98,Maria Jones,Cook Ltd,22_0,22_1,22_2,22_3,22_4,,
23,Self-enabling even-keeled open architecture,Set toward race success. Have why treat.\nNational series against these film despite job. Board open enter blood friend hand radio. Education arrive analysis born.,93,Damon Watson,"Mendez, Guzman and Davis",23_0,23_1,23_2,23_3,,,
27,Organized web-enabled function,Without able office live else. Education source growth little wall. Truth guy plan.,59,Mary Bowers,"Jenkins, Perez and Key",27_0,27_1,,,,,
4,Synergized context-sensitive adapter,That authority officer. Later American fact both woman role smile shake. Himself everyone science suddenly. Rather research these specific.,51,Victor Underwood,Barnes LLC,4_0,4_1,4_2,4_3,4_4,,
1,Organized leadingedge product,Everyone dark Mrs. Thank skin pull forward send note shake. Central sound within cold ever.\nHalf effect same glass yard all. Guy lose them maintain western truth even security.,82,Amy Smith,Nichols-Simon,1_0,,,,,,
